velocity flux weight
11083.306818871655 -1.322968401756428 1.0
11088.847822218353 -2.251275702693334 1.0
11094.38902309253 -0.8361590144436235 1.0
11099.930421504838 -1.8235771040118962 1.0
11105.472017465861 -4.212122188969138 1.0
11111.013810986049 -2.602221974310325 1.0
11116.555802076122 -0.689413029872942 1.0
11122.097990746528 0.4246659256759693 1.0
11127.640377007854 -0.8512101777835532 1.0
11133.182960870749 -2.028787965853475 1.0
11138.725742345663 0.6363048611389899 1.0
11144.268721443183 1.5886749284557111 1.0
11149.811898173959 0.6983021194141594 1.0
11155.355272548573 0.04615296321049556 1.0
11160.89884457748 1.931093343202047 1.0
11166.44261427126 4.813241583617293 1.0
11171.986581640633 1.7855050263037442 1.0
11177.530746695982 -3.240776266526606 1.0
11183.075109448024 -2.3937545995108125 1.0
11188.61966990728 1.5618266477122678 1.0
11194.16442808433 2.4256891432818057 1.0
11199.709383989695 2.24859942660897 1.0
11205.254537634091 1.723066387624964 1.0
11210.799889027901 1.298731090694611 1.0
11216.345438181912 4.073409722385508 1.0
11221.891185106571 4.465450435416395 1.0
11227.437129812468 -0.5466477539047911 1.0
11232.98327231018 -2.977687695859758 1.0
11238.529612610364 -1.1321009830064965 1.0
11244.076150723535 0.14346809906273084 1.0
11249.622886660276 1.5533306813767807 1.0
11255.16982043124 1.1137973966114094 1.0
11260.716952046876 1.2533561439818506 1.0
11266.264281517904 4.08930424919117 1.0
11271.81180885484 5.209470026577397 1.0
11277.359534068333 7.504912793227914 1.0
11282.907457168838 6.871395687830919 1.0
11288.455578167137 0.10233245040336936 1.0
11294.003897073613 -1.3221937083089994 1.0
11299.552413898986 3.8522923138607728 1.0
11305.101128653838 6.515968946200328 1.0
11310.650041348688 7.279574336071066 1.0
11316.199151994253 10.603066550934498 1.0
11321.748460600984 12.786737121862695 1.0
11327.297967179531 10.107332316579049 1.0
11332.847671740547 6.99881829143582 1.0
11338.397574294546 6.591858439741772 1.0
11343.947674852181 8.187599268989949 1.0
11349.497973423971 7.352113722085713 1.0
11355.04847002063 3.8974018391967107 1.0
11360.59916465268 2.3286830856337373 1.0
11366.150057330702 1.5396285047895768 1.0
11371.70114806528 0.7158436023076304 1.0
11377.252436867133 0.2751039608585253 1.0
11382.803923746776 2.4867509432174306 1.0
11388.355608714797 5.862566793353537 1.0
11393.907491781845 5.825308825892713 1.0
11399.459572958436 4.474482722473717 1.0
11405.01185225529 7.43635212213553 1.0
11410.56432968299 9.798583558832622 1.0
11416.117005252052 5.9918859420257675 1.0
11421.669878973196 4.280257567866741 1.0
11427.22295085694 8.468467265057079 1.0
11432.776220913931 9.868260468609074 1.0
11438.329689154758 6.955100838955868 1.0
11443.883355590067 5.1653373247108645 1.0
11449.437220230446 5.3729371319517805 1.0
11454.991283086543 4.407990582237614 1.0
11460.54554416888 5.381880914320684 1.0
11466.100003488167 9.830608182462056 1.0
11471.654661054929 11.135696277000388 1.0
11477.209516879811 7.652257795186293 1.0
11482.76457097347 1.9873775346057823 1.0
11488.31982334655 -0.5961749957570968 1.0
11493.875274009508 2.134932172969113 1.0
11499.430922973123 6.922417146606264 1.0
11504.986770247915 9.28544287230283 1.0
11510.542815844601 7.799169432311373 1.0
11516.0990597737 4.909292284421273 1.0
11521.655502045862 2.8254443615681124 1.0
11527.21214267167 4.104726736277643 1.0
11532.76898166184 5.877649563430067 1.0
11538.326019026961 5.51828379077029 1.0
11543.883254777615 4.4596403016691575 1.0
11549.44068892445 6.030210852547151 1.0
11554.99832147812 5.50327375028834 1.0
11560.556152449208 0.9923145227497092 1.0
11566.114181848297 -0.1037024104205031 1.0
11571.672409686174 0.6248619532066795 1.0
11577.230835973289 3.9688714289864375 1.0
11582.789460720358 8.873113852267636 1.0
11588.348283937967 8.859444793059195 1.0
11593.90730563683 8.159254572607805 1.0
11599.466525827534 10.146353090654143 1.0
11605.025944520665 7.778706285164912 1.0
11610.58556172687 1.269923165700007 1.0
11616.1453774568 -0.8797951304389562 1.0
11621.705391721109 1.5790588570428192 1.0
11627.265604530443 4.581127001147369 1.0
11632.826015895325 6.214938627420841 1.0
11638.386625826535 4.5443594957154385 1.0
11643.947434334592 2.5796064190630075 1.0
11649.50844143028 2.1313154237321124 1.0
11655.06964712405 4.927283048857239 1.0
11660.631051426686 8.845365297015585 1.0
11666.192654348772 8.472987149989383 1.0
11671.754455900958 7.808024884401583 1.0
11677.31645609383 6.8965119938426245 1.0
11682.878654938104 4.090337724789626 1.0
11688.44105244443 4.661700869178404 1.0
11694.003648623393 8.989237903899323 1.0
11699.566443485646 9.199688926313655 1.0
11705.129437041904 3.7139667994562138 1.0
11710.69262930275 0.6120590821291234 1.0
11716.256020278837 0.5007899798417075 1.0
11721.819609980816 1.0562701804983692 1.0
11727.38339841927 2.8567588068822425 1.0
11732.94738560498 2.5036921156360017 1.0
11738.511571548537 0.6485663059173605 1.0
11744.075956260589 2.023922312257436 1.0
11749.640539751717 3.0492399231081886 1.0
11755.205322032707 3.016742594942684 1.0
11760.770303114079 4.04368460466465 1.0
11766.335483006613 4.196909125870952 1.0
11771.900861720897 7.34499902669552 1.0
